time,values
2/1/2015,0.1244815247804727
3/1/2015,0.5992984550654672
4/1/2015,-0.3648101880581045
5/1/2015,0.3935698461156072
6/1/2015,0.09570912674555743
7/1/2015,-0.01325469184970629
8/1/2015,0.3690511179679241
9/1/2015,0.16053770327444639
10/1/2015,0.04893701901132275
11/1/2015,-0.05947153721832521
12/1/2015,-2.6236671226410646
1/1/2016,0.237598353866888
2/1/2016,-0.4220155511716861
3/1/2016,0.2999731732869009
4/1/2016,-0.43263059879467747
5/1/2016,0.8559461942576014
6/1/2016,0.05198757955025357
7/1/2016,-0.21879377667277744
8/1/2016,0.8125308717130597
9/1/2016,0.4794656243505102
10/1/2016,-1.7615653860866622
11/1/2016,-0.03226107610542073
12/1/2016,0.5030945854701905
1/1/2017,-0.19829919364075366
2/1/2017,-0.0676353702483663
3/1/2017,0.026019134437163416
4/1/2017,0.28488043443348765
5/1/2017,-0.25851318821734637
6/1/2017,0.6789332793433935
7/1/2017,-0.3835137205364063
8/1/2017,-0.012627387939321721
9/1/2017,-0.09685440160142633
10/1/2017,0.63328037914928
11/1/2017,-0.1925353179254934
12/1/2017,-0.29080580679322665
1/1/2018,0.30922676562392937
2/1/2018,0.13784319141564083
3/1/2018,0.4887316533746642
4/1/2018,-0.10244562022194792
5/1/2018,0.061511816127858054
6/1/2018,0.36380639058785036
7/1/2018,-0.1971586627561539
8/1/2018,-0.45276781237367203
9/1/2018,0.5162697781403747
10/1/2018,0.2379639677222638
11/1/2018,0.1482400334956182
12/1/2018,0.08716701509791491
1/1/2019,0.060183536493138234
2/1/2019,-0.01670668337803427
3/1/2019,-0.12988673993971744
4/1/2019,0.4775289959599007
5/1/2019,-0.08706178178594648
6/1/2019,0.22366464820025556
7/1/2019,0.13806584598810012
8/1/2019,-0.04881725095028777
9/1/2019,0.2852018345398566
10/1/2019,0.09273995981589955
11/1/2019,-0.07490419400576975
12/1/2019,0.21818262208016748
1/1/2020,0.16296082064683937
